"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
12 Jun 2022 08:55:54.993,0.100,0.433005,-208.014,-193.828270,7.093146,27.678572,15.000,-14.0823,-12.1441,3.633990e-01
12 Jun 2022 08:56:54.000,0.100,0.433003,-165.692,-151.506313,7.093115,70.000498,15.000,28.2396,30.1778,1.000000e-30
12 Jun 2022 08:57:54.000,0.100,0.433001,-155.906,-141.720472,7.093076,79.786300,15.000,38.0254,39.9636,1.000000e-30
12 Jun 2022 08:58:54.000,0.100,0.432999,-155.105,-140.919058,7.093035,80.587673,15.000,38.8268,40.7650,1.000000e-30
12 Jun 2022 08:59:54.000,0.100,0.432997,-160.024,-145.838841,7.092996,75.667851,15.000,33.9069,35.8451,1.000000e-30
12 Jun 2022 09:00:54.000,0.100,0.432996,-188.082,-173.896625,7.092962,47.610033,15.000,5.8491,7.7873,2.637203e-04
12 Jun 2022 09:01:15.282,0.100,0.432995,-208.098,-193.912877,7.092952,27.593772,15.000,-14.1671,-12.2289,3.646738e-01
12 Jun 2022 10:29:11.173,0.100,0.433010,-208.021,-193.835519,7.093248,27.671425,15.000,-14.0895,-12.1513,3.635069e-01
12 Jun 2022 10:30:11.000,0.100,0.433010,-151.927,-137.741372,7.093245,83.765569,15.000,42.0047,43.9429,1.000000e-30
12 Jun 2022 10:31:11.000,0.100,0.433009,-149.221,-135.035298,7.093236,86.471635,15.000,44.7107,46.6489,1.000000e-30
12 Jun 2022 10:32:11.000,0.100,0.433008,-146.763,-132.577444,7.093219,88.929471,15.000,47.1686,49.1068,1.000000e-30
12 Jun 2022 10:33:11.000,0.100,0.433006,-144.081,-129.895759,7.093177,91.611114,15.000,49.8502,51.7884,1.000000e-30
12 Jun 2022 10:34:11.000,0.100,0.433002,-142.131,-127.945861,7.093082,93.560917,15.000,51.8000,53.7382,1.000000e-30
12 Jun 2022 10:35:11.000,0.100,0.432996,-142.847,-128.661950,7.092964,92.844711,15.000,51.0838,53.0220,1.000000e-30
12 Jun 2022 10:36:11.000,0.100,0.432992,-145.378,-131.192827,7.092901,90.313770,15.000,48.5529,50.4911,1.000000e-30
12 Jun 2022 10:37:11.000,0.100,0.432991,-147.984,-133.798081,7.092875,87.708491,15.000,45.9476,47.8858,1.000000e-30
12 Jun 2022 10:38:11.000,0.100,0.432991,-150.321,-136.135721,7.092865,85.370841,15.000,43.6099,45.5481,1.000000e-30
12 Jun 2022 10:39:11.000,0.100,0.432990,-158.795,-144.609117,7.092860,76.897439,15.000,35.1365,37.0747,1.000000e-30
12 Jun 2022 10:39:45.082,0.100,0.432990,-208.148,-193.963001,7.092859,27.543554,15.000,-14.2174,-12.2792,3.654235e-01
12 Jun 2022 12:05:48.833,0.100,0.433010,-208.089,-193.903503,7.093248,27.603442,15.000,-14.1575,-12.2193,3.645290e-01
12 Jun 2022 12:06:48.000,0.100,0.433010,-152.042,-137.856501,7.093245,83.650441,15.000,41.8895,43.8277,1.000000e-30
12 Jun 2022 12:07:48.000,0.100,0.433009,-149.290,-135.105022,7.093239,86.401914,15.000,44.6410,46.5792,1.000000e-30
12 Jun 2022 12:08:48.000,0.100,0.433009,-146.803,-132.617827,7.093224,88.889094,15.000,47.1282,49.0664,1.000000e-30
12 Jun 2022 12:09:48.000,0.100,0.433007,-143.988,-129.802660,7.093188,91.704224,15.000,49.9433,51.8815,1.000000e-30
12 Jun 2022 12:10:48.000,0.100,0.433002,-141.660,-127.474928,7.093097,94.031866,15.000,52.2710,54.2092,1.000000e-30
12 Jun 2022 12:11:48.000,0.100,0.432996,-142.110,-127.924374,7.092972,93.582294,15.000,51.8214,53.7596,1.000000e-30
12 Jun 2022 12:12:48.000,0.100,0.432993,-144.757,-130.571766,7.092902,90.934832,15.000,49.1739,51.1121,1.000000e-30
12 Jun 2022 12:13:48.000,0.100,0.432991,-147.501,-133.315727,7.092876,88.190845,15.000,46.4299,48.3681,1.000000e-30
12 Jun 2022 12:14:48.000,0.100,0.432991,-149.903,-135.717257,7.092866,85.789306,15.000,44.0284,45.9666,1.000000e-30
12 Jun 2022 12:15:48.000,0.100,0.432990,-154.374,-140.188222,7.092861,81.318335,15.000,39.5574,41.4956,1.000000e-30
12 Jun 2022 12:16:33.249,0.100,0.432990,-208.153,-193.967213,7.092859,27.539343,15.000,-14.2216,-12.2834,3.654862e-01
12 Jun 2022 13:43:29.714,0.100,0.433009,-208.144,-193.958997,7.093233,27.547932,15.000,-14.2130,-12.2748,3.653583e-01
12 Jun 2022 13:44:29.000,0.100,0.433009,-152.655,-138.469167,7.093225,83.037754,15.000,41.2768,43.2150,1.000000e-30
